Significant Wave Height (m),Peak Wave Period (s),Mean Spring Tidal Range (m),Extreme Storm Surge (m),Beach Width (m),Beach Face Slope (-),Median Grain Size D50 (mm),Dune Crest Elevation (m),Nearshore Bathymetric Slope (-),Historical Shoreline Change Rate (m/yr),Sediment Budget Balance (m3/m/yr),Vegetation Cover (%),Relative Sea-Level Rise (mm/yr),Coastal Erosion Risk Class
2.16,10.26,4.08,1.16,77.06,0.0479,0.868,6.79,NaN,-1.16,0.53,49.1,5.98,Low Susceptibility
2.18,10.84,0.96,1.55,38.16,0.0577,0.753,5.02,0.0511,0.75,5.08,32.3,1.62,Low Susceptibility
0.71,5.49,1.23,0.78,98.26,0.015,0.23,8.81,0.0152,1.73,8.54,46.2,NaN,Stable or Accreting
1.15,9.07,0.61,0.93,67.32,0.0379,0.331,5.24,0.0234,1.6,7.44,NaN,4.3,Stable or Accreting
2.26,NaN,4.33,1.41,77.96,0.0432,0.302,7.75,0.0186,0.69,5.2,42.7,NaN,Low Susceptibility
0.51,4.5,4.17,0.23,108.45,0.0306,0.468,10.48,0.0199,NaN,10.58,64.8,3.3,Stable or Accreting
2.42,11.54,4.85,1.39,59.73,0.0418,0.76,5.22,0.0353,-0.49,-2.07,22.7,5.7,Moderate Susceptibility
2.03,10.11,3.69,1.48,58.21,0.0197,0.194,3.59,0.0142,0.16,5.66,21.7,6.37,Moderate Susceptibility
2.31,12.43,4.23,NaN,71.77,NaN,0.211,4.11,0.0099,-0.04,2.8,38.5,7.24,Moderate Susceptibility
2.72,9.4,0.69,NaN,47.94,0.0425,0.618,4.25,0.0355,-1.4,-3.61,NaN,5.41,Moderate Susceptibility
2.88,11.44,0.37,1.61,76.69,0.0445,0.697,8.85,0.0323,NaN,-18.38,20.5,1.97,Moderate Susceptibility
2.65,9.87,1.94,1.44,97.45,0.0884,1.265,NaN,0.0602,NaN,16.04,53.0,1.75,Stable or Accreting
2.58,12.34,1.86,1.64,74.07,0.069,1.217,7.62,0.0656,-0.84,0.2,34.2,4.36,Moderate Susceptibility
3.09,12.66,0.46,1.85,62.4,0.0508,0.801,6.08,0.0448,-1.52,-4.9,NaN,5.34,Moderate Susceptibility
1.02,8.93,3.05,0.81,75.01,0.0407,0.48,3.92,0.0297,-0.31,7.13,27.0,5.9,Low Susceptibility
0.8,9.66,0.7,0.57,83.4,0.0422,0.788,9.01,0.0378,-0.15,-4.34,NaN,2.12,Low Susceptibility
1.06,8.62,1.62,1.09,96.36,0.015,0.12,8.34,0.0177,2.19,16.44,54.9,4.84,Stable or Accreting
1.58,8.83,2.18,1.02,124.68,0.0292,0.534,NaN,0.0172,3.6,22.0,67.4,5.59,Stable or Accreting
1.82,10.03,2.01,NaN,41.75,0.015,0.303,3.36,0.0251,-2.78,-12.77,0.0,4.7,High Susceptibility
1.57,7.48,3.23,1.16,63.02,0.0293,0.32,6.11,0.0296,NaN,0.72,34.9,2.1,Stable or Accreting
1.69,9.75,0.29,1.92,8.0,0.0242,0.302,0.8,0.0233,-1.77,-6.34,2.1,3.88,Critical Erosion Hotspot
NaN,5.4,1.09,0.74,106.42,0.0171,0.131,8.13,NaN,2.39,14.94,54.8,2.44,Stable or Accreting
2.05,7.9,2.42,0.74,55.98,0.0706,1.093,6.11,0.0544,-0.27,-1.19,24.0,1.36,Low Susceptibility
1.22,NaN,1.13,NaN,90.61,0.0212,0.214,5.04,0.0172,1.63,14.04,36.7,3.24,Stable or Accreting
2.87,11.31,3.17,1.68,NaN,0.033,0.46,8.14,0.023,0.91,5.34,62.3,NaN,Low Susceptibility
1.47,8.5,0.91,NaN,39.33,0.0355,0.528,3.14,0.0347,-1.14,NaN,3.1,NaN,High Susceptibility
0.4,5.37,1.28,0.77,91.23,0.0275,0.187,5.59,0.0103,3.1,12.98,57.0,4.52,Stable or Accreting
3.2,13.34,0.92,1.57,50.82,0.0563,NaN,6.02,0.0415,-2.04,-5.26,21.9,2.28,Moderate Susceptibility
2.37,13.74,0.93,1.93,NaN,0.0472,0.743,5.8,0.0372,-1.87,-9.36,4.1,7.07,High Susceptibility
NaN,12.5,1.28,1.81,47.86,0.085,1.375,6.75,0.0722,1.52,5.25,31.0,1.72,Low Susceptibility
3.48,13.45,0.92,2.09,44.22,0.0221,0.237,5.38,0.022,-0.68,1.19,31.2,4.92,Moderate Susceptibility
0.81,7.34,2.53,0.86,70.27,0.0219,0.396,6.38,0.0228,-1.65,-7.85,43.7,1.6,Low Susceptibility
2.2,7.38,2.34,1.72,94.16,0.0334,0.332,8.55,0.0287,1.0,5.88,54.6,NaN,Stable or Accreting
1.22,7.34,0.49,1.38,120.43,0.025,0.352,11.49,0.022,2.62,12.75,85.2,1.21,Stable or Accreting
2.21,10.49,0.28,1.41,29.12,0.0344,0.498,4.8,0.0281,-3.16,-18.27,0.6,3.95,High Susceptibility
1.61,10.12,4.59,1.08,74.62,0.0537,0.928,6.9,0.0357,0.57,9.5,45.2,4.29,Low Susceptibility
2.76,13.48,1.76,1.73,65.29,0.0684,1.061,NaN,0.057,-1.56,-7.09,37.5,NaN,Low Susceptibility
2.19,10.36,0.37,1.89,8.0,0.0329,0.292,0.8,0.0211,-4.12,-14.34,0.0,7.86,Critical Erosion Hotspot
1.69,9.09,4.8,0.79,90.82,0.0323,0.286,7.28,0.0235,-0.07,4.13,52.8,1.43,Low Susceptibility
2.98,12.96,0.41,2.43,24.65,0.0348,0.13,2.5,0.0183,-2.7,-9.8,NaN,7.97,Critical Erosion Hotspot
1.63,8.74,1.74,1.46,65.44,0.0218,NaN,6.63,0.0178,2.56,14.37,43.6,4.66,Low Susceptibility
2.8,11.82,0.36,NaN,56.19,0.0273,0.12,4.98,0.0212,NaN,5.26,11.9,2.49,Low Susceptibility
0.98,7.89,0.85,1.56,30.0,0.0312,NaN,3.07,0.017,-3.34,-17.19,7.4,7.35,High Susceptibility
1.42,9.54,0.81,1.35,91.05,0.0197,NaN,8.14,0.0215,0.54,2.28,66.5,5.62,Stable or Accreting
NaN,6.58,1.62,1.58,59.78,NaN,0.16,4.75,0.0112,0.46,3.91,35.7,7.13,Low Susceptibility
1.04,10.11,0.57,1.31,30.2,0.0271,0.157,0.8,NaN,1.24,16.38,19.6,7.5,Critical Erosion Hotspot
1.28,8.78,5.09,1.09,44.49,0.0313,0.201,2.77,0.0109,-0.58,5.81,19.4,7.35,High Susceptibility
2.68,11.51,3.52,1.3,30.18,0.0262,0.291,4.5,NaN,-0.78,-1.77,3.1,3.67,Moderate Susceptibility
2.06,7.01,5.0,0.87,96.45,0.015,0.159,NaN,0.0193,1.11,4.44,78.5,1.97,Stable or Accreting
2.76,14.28,0.68,NaN,32.77,0.0475,0.418,3.75,0.0234,-1.77,-10.61,NaN,4.67,High Susceptibility
1.49,9.76,1.1,1.4,113.64,NaN,0.208,8.72,0.0122,2.91,14.07,65.7,2.63,Stable or Accreting
NaN,8.82,4.91,1.57,50.95,0.0298,0.357,3.44,0.0225,-0.42,6.47,30.8,NaN,High Susceptibility
3.01,13.55,NaN,NaN,53.9,0.0341,0.748,7.14,0.0374,-3.8,-13.95,NaN,4.52,High Susceptibility
NaN,11.53,4.66,1.14,37.88,0.0303,0.511,5.13,0.0276,-2.66,-15.75,13.6,4.82,High Susceptibility
2.34,9.34,3.73,1.5,57.88,0.0301,0.344,4.59,0.0312,-0.36,-0.37,NaN,3.37,Moderate Susceptibility
2.93,12.88,0.75,1.73,31.49,NaN,0.23,2.64,0.0203,-1.03,4.59,0.0,NaN,High Susceptibility
NaN,13.55,1.3,1.65,84.19,0.0776,1.223,8.97,0.0639,0.5,-0.05,50.6,1.22,Stable or Accreting
3.11,11.43,4.61,1.56,42.5,0.0335,0.495,3.23,0.034,-1.36,-3.9,23.4,4.7,High Susceptibility
1.79,8.89,2.62,1.17,24.93,0.0438,0.867,3.57,0.0424,-1.8,-7.84,2.2,1.98,Moderate Susceptibility
NaN,9.27,2.58,1.66,65.46,0.0769,1.248,NaN,0.0563,-2.69,-7.77,32.4,6.06,Moderate Susceptibility
2.61,NaN,0.28,1.99,11.85,0.0216,0.266,1.79,0.0147,NaN,NaN,0.0,10.03,Critical Erosion Hotspot
0.89,7.42,1.68,0.6,109.71,0.0285,0.341,8.39,0.0181,2.48,6.65,80.3,5.31,Stable or Accreting
3.44,13.3,2.03,2.32,99.41,0.06,0.634,10.95,0.0525,-0.27,-1.69,50.1,2.18,Low Susceptibility
2.28,12.53,0.86,1.55,82.39,0.0587,0.912,10.39,0.0402,-0.11,0.39,42.0,2.8,Low Susceptibility
1.31,8.98,5.32,0.95,42.98,0.0273,0.774,3.29,0.0268,-1.83,-9.34,8.4,6.95,High Susceptibility
2.06,NaN,0.55,1.2,47.71,0.0263,0.268,NaN,0.0196,0.83,0.77,34.5,3.38,Low Susceptibility
1.2,7.72,0.2,1.34,NaN,0.0224,0.217,6.49,0.0053,-1.07,-3.01,45.6,6.92,Low Susceptibility
0.35,6.35,0.75,0.66,111.3,0.0197,0.42,7.47,0.024,2.63,15.64,56.9,4.68,Stable or Accreting
NaN,NaN,4.92,1.42,NaN,0.0282,0.292,4.83,0.0271,1.93,11.12,37.3,3.84,Low Susceptibility
0.47,4.69,1.32,1.06,121.62,NaN,0.501,9.08,0.0335,3.6,21.65,83.4,2.75,Stable or Accreting
1.94,12.44,1.52,1.3,70.49,0.074,0.908,8.29,0.0484,-0.11,7.71,35.6,1.54,Low Susceptibility
0.87,9.26,1.2,0.99,118.27,0.0294,0.327,9.42,0.0194,3.45,21.89,75.6,3.3,Stable or Accreting
2.28,8.86,0.76,1.57,46.69,0.0591,NaN,6.56,0.044,-1.55,-7.56,31.9,1.6,Low Susceptibility
3.1,11.93,0.43,1.97,53.1,0.055,0.531,7.4,0.0358,-2.1,-13.37,14.8,2.07,Moderate Susceptibility
1.71,9.13,0.35,1.28,56.93,0.0212,0.12,5.73,0.0128,-1.24,0.74,38.3,4.63,Moderate Susceptibility
2.73,12.87,1.03,1.7,NaN,0.0334,0.311,3.27,0.0179,-0.56,-6.43,NaN,5.32,Moderate Susceptibility
2.07,11.7,0.25,1.74,68.25,0.0494,0.683,7.82,0.0333,0.13,1.05,54.0,1.97,Low Susceptibility
2.77,12.96,0.32,1.56,66.58,0.0417,0.477,6.89,0.0265,-2.98,-15.39,34.1,5.4,High Susceptibility
2.75,10.25,0.28,1.44,37.76,0.0439,0.381,6.13,0.0355,-1.39,-9.85,13.4,1.92,Low Susceptibility
2.56,11.61,0.53,1.73,84.86,0.0402,0.315,7.9,0.0265,-2.08,-13.79,NaN,3.81,Low Susceptibility
3.39,14.51,0.54,2.08,53.18,0.0484,0.778,NaN,0.037,-4.57,-21.07,11.2,NaN,High Susceptibility
1.45,10.39,0.71,0.97,76.82,0.0329,0.649,5.86,0.0295,-1.03,-0.26,11.8,3.16,Low Susceptibility
1.42,8.85,0.3,1.27,8.0,0.015,0.181,0.8,0.0175,-2.71,-4.87,0.1,5.79,Critical Erosion Hotspot
2.23,11.39,0.49,1.26,90.47,0.033,0.465,7.43,0.0308,NaN,12.67,39.7,NaN,Stable or Accreting
2.1,12.42,0.2,2.11,8.0,0.0305,0.375,0.89,0.0323,-3.85,-17.5,0.0,9.08,Critical Erosion Hotspot
2.34,10.7,4.55,1.09,72.38,0.0274,0.293,5.08,0.0273,-2.62,-14.25,21.3,8.6,High Susceptibility
0.7,7.27,1.99,0.54,74.38,0.0158,0.12,5.31,0.0045,2.25,8.64,41.1,NaN,Low Susceptibility
2.92,12.12,0.2,NaN,22.99,0.0318,NaN,2.85,0.0226,-1.94,-0.97,0.0,6.82,High Susceptibility
NaN,9.31,2.4,0.65,101.43,0.0182,0.382,6.97,0.0229,1.8,7.23,55.2,3.42,Stable or Accreting
2.43,11.65,3.98,1.14,53.51,0.039,0.437,6.18,0.0275,-1.52,-6.04,25.4,1.67,Moderate Susceptibility
1.76,9.33,1.84,1.43,98.32,0.0268,0.203,9.17,0.0146,NaN,9.7,63.8,2.07,Stable or Accreting
1.28,6.9,1.33,1.02,120.52,0.0259,0.161,9.86,0.0216,2.07,13.74,51.0,2.84,Stable or Accreting
1.47,10.26,0.89,0.55,94.44,0.0361,0.608,8.27,0.026,3.59,11.85,49.6,1.71,Stable or Accreting
NaN,10.03,3.85,1.77,53.1,0.032,0.466,2.12,0.0341,-0.12,7.82,0.0,NaN,High Susceptibility
2.81,11.0,4.1,1.59,86.86,0.037,0.286,6.73,0.022,-0.04,-2.28,NaN,NaN,Low Susceptibility
1.54,9.17,4.38,0.87,72.27,0.0371,0.756,7.02,0.0293,-1.19,-6.64,36.5,1.94,Low Susceptibility
2.02,11.56,0.42,1.51,45.53,0.0426,0.455,2.34,0.0329,-0.69,2.79,18.1,1.84,Moderate Susceptibility
2.09,12.27,1.0,1.07,79.28,NaN,0.645,7.31,0.0389,-0.61,1.38,49.7,4.2,Low Susceptibility
1.31,9.17,4.82,1.35,NaN,0.0259,0.397,2.26,0.0186,0.29,4.97,NaN,5.19,High Susceptibility
2.0,NaN,0.2,2.29,29.27,0.0283,0.239,4.2,0.0149,-1.7,-10.69,9.1,8.19,High Susceptibility
1.74,9.29,0.75,1.19,32.16,0.0423,NaN,4.37,0.0398,NaN,-10.99,5.0,1.19,Moderate Susceptibility
1.89,9.62,1.16,1.35,62.47,0.0419,0.271,6.36,0.0253,-0.02,-0.23,37.4,3.84,Low Susceptibility
2.75,11.48,2.91,1.31,61.96,0.0704,1.04,8.78,0.0561,0.13,3.79,48.8,3.11,Low Susceptibility
2.32,11.27,NaN,1.47,80.06,0.0318,0.361,7.43,0.0267,1.48,6.81,30.2,5.32,Low Susceptibility
2.77,11.91,1.37,1.37,71.75,0.0331,0.479,6.42,0.0265,0.96,6.33,23.5,2.49,Low Susceptibility
3.15,13.94,2.91,2.03,14.36,NaN,0.751,2.59,0.0543,-3.17,-13.82,0.0,4.02,Critical Erosion Hotspot
1.76,10.24,1.05,1.01,94.63,NaN,0.149,8.15,0.0156,3.52,22.0,NaN,2.82,Stable or Accreting
2.6,11.18,4.77,1.45,28.73,0.0241,0.398,2.66,0.0249,-1.77,-8.25,0.0,5.63,High Susceptibility
1.96,13.53,0.98,1.24,54.14,0.015,0.149,5.65,0.0158,-1.54,-5.59,30.4,3.11,Low Susceptibility
0.54,7.24,3.17,NaN,99.9,0.015,0.136,6.33,NaN,-0.47,-0.97,55.3,6.88,Low Susceptibility
1.34,11.51,1.49,1.04,19.62,0.023,0.339,2.46,0.0212,-1.41,-9.29,10.1,2.5,High Susceptibility
1.8,11.66,3.07,1.36,64.42,0.0388,0.404,NaN,0.0271,-0.07,0.4,NaN,5.27,Low Susceptibility
2.47,10.73,0.54,1.82,9.01,0.0193,0.12,0.8,0.0095,-3.81,-15.07,0.0,7.99,Critical Erosion Hotspot
NaN,12.13,0.38,NaN,47.51,0.0563,0.917,3.9,0.0411,-1.41,-3.03,19.0,7.83,High Susceptibility
1.2,8.7,3.49,0.6,NaN,0.0272,NaN,10.22,0.0371,-0.19,NaN,59.5,3.64,Low Susceptibility
NaN,8.02,3.69,1.88,57.05,0.028,0.744,3.42,0.0282,-0.68,3.89,23.5,6.6,Moderate Susceptibility
2.39,11.31,0.47,1.5,36.38,0.0236,NaN,3.22,0.0243,-3.03,-16.9,1.4,6.59,High Susceptibility
1.54,NaN,NaN,0.87,95.94,NaN,0.505,7.32,0.0271,NaN,11.74,47.0,2.4,Stable or Accreting
2.11,12.85,0.65,1.66,56.35,0.025,0.18,5.88,0.0213,-1.91,-8.73,17.0,6.44,High Susceptibility
2.46,12.6,1.5,NaN,45.66,0.0617,1.05,4.79,0.0581,-1.9,NaN,19.3,4.26,Moderate Susceptibility
2.76,12.16,2.21,1.7,52.56,0.0337,0.251,6.43,NaN,-0.63,2.51,NaN,3.94,Low Susceptibility
2.63,NaN,0.2,2.0,12.0,0.0222,0.166,NaN,0.0204,-5.26,-24.09,0.0,7.97,Critical Erosion Hotspot
1.39,11.16,1.44,0.89,85.38,0.073,1.091,8.7,0.0536,-0.77,NaN,45.2,NaN,Low Susceptibility
1.42,8.41,0.21,1.79,12.97,0.0187,0.193,NaN,0.0165,-2.0,-6.91,0.0,7.55,Critical Erosion Hotspot
1.72,9.68,4.77,1.17,110.43,0.0228,0.537,5.73,0.0309,0.5,5.78,51.7,5.32,Low Susceptibility
3.44,12.86,0.96,2.14,26.42,0.0495,0.611,3.8,0.0319,-0.91,-0.75,0.0,6.94,High Susceptibility
2.12,6.83,1.76,1.9,80.95,0.0334,0.318,7.02,0.025,0.32,2.66,47.1,4.57,Stable or Accreting
2.25,11.69,0.43,1.31,57.01,0.0353,0.528,6.06,0.0305,NaN,NaN,21.6,3.22,Moderate Susceptibility
2.32,8.97,2.63,1.63,23.66,0.0372,0.255,2.53,0.0262,-2.17,-11.17,0.0,5.43,High Susceptibility
0.52,8.47,1.82,0.28,108.12,0.015,0.283,8.79,0.016,2.79,17.02,50.3,NaN,Stable or Accreting
2.56,11.88,1.58,1.75,NaN,0.0645,0.777,7.87,NaN,-0.63,0.02,NaN,4.87,Low Susceptibility
NaN,15.01,1.73,1.58,67.16,NaN,1.064,7.53,0.0546,-1.32,-0.82,41.9,3.42,Low Susceptibility
3.43,12.27,0.2,2.02,8.0,0.0291,NaN,1.02,0.0302,-3.99,-18.45,NaN,6.72,Critical Erosion Hotspot
2.18,7.39,4.99,1.61,46.36,0.0299,0.243,NaN,0.025,-1.15,-1.59,28.8,3.37,Moderate Susceptibility
3.49,14.83,0.97,1.99,40.3,0.042,0.529,4.59,0.0375,-1.05,0.33,10.5,5.43,Moderate Susceptibility
2.43,9.83,5.18,1.72,52.4,0.0334,0.405,6.21,0.0353,-1.81,-6.68,30.1,4.9,Moderate Susceptibility
2.63,NaN,0.2,1.63,43.46,0.0402,0.431,3.66,0.0259,1.51,7.5,31.4,2.48,Moderate Susceptibility
1.01,8.01,3.49,1.19,64.96,0.0298,0.736,2.75,0.0344,-0.76,-2.24,18.5,6.96,Moderate Susceptibility
2.53,10.55,0.64,1.54,50.79,0.0275,0.312,4.48,0.0309,-1.61,NaN,7.6,4.03,Moderate Susceptibility
2.85,10.71,0.87,1.67,37.51,0.0234,0.18,5.29,0.016,NaN,NaN,4.1,2.04,Moderate Susceptibility
1.78,9.85,0.43,1.91,71.34,0.029,0.272,5.97,0.02,-0.92,-0.5,32.1,7.57,Moderate Susceptibility
0.72,5.42,3.64,1.44,NaN,0.0472,0.561,3.71,0.0305,-0.1,5.59,29.8,7.29,Moderate Susceptibility
NaN,6.75,0.24,1.76,47.1,0.0505,0.674,4.54,0.0348,-1.91,-0.47,1.8,6.2,High Susceptibility
1.9,10.87,1.42,1.23,96.76,0.0208,0.167,7.85,0.0071,3.37,10.89,53.5,NaN,Stable or Accreting
NaN,13.42,5.17,1.6,52.88,0.0244,0.12,4.97,0.0184,-1.1,1.89,23.4,7.76,High Susceptibility
1.73,9.64,1.86,1.1,120.18,0.0516,0.653,9.31,0.0343,2.18,14.16,66.4,3.57,Stable or Accreting
2.28,10.25,3.24,1.28,55.22,0.046,NaN,4.12,NaN,NaN,-1.25,0.0,NaN,Moderate Susceptibility
NaN,11.05,4.96,0.82,64.5,0.0342,NaN,5.89,0.0314,1.02,7.67,44.6,0.81,Low Susceptibility
0.69,7.48,1.14,0.71,115.8,0.0272,0.201,NaN,0.0211,3.6,17.52,53.9,3.45,Stable or Accreting
2.56,12.11,4.17,NaN,74.47,0.0164,0.181,7.81,0.0188,-4.04,-19.04,13.3,5.31,Moderate Susceptibility
1.36,7.06,4.83,1.0,47.57,0.0274,0.332,3.63,0.024,1.14,10.02,13.1,4.91,Moderate Susceptibility
2.78,11.37,0.37,2.28,8.0,0.0358,0.259,0.8,0.0285,-3.71,-11.74,0.0,7.95,Critical Erosion Hotspot
3.15,10.88,NaN,1.46,59.75,0.0721,1.257,6.65,0.0622,NaN,-1.36,39.9,2.27,Low Susceptibility
2.28,10.6,4.5,1.17,70.22,0.0288,0.315,5.89,0.0195,0.96,8.1,40.0,3.23,Low Susceptibility
3.16,13.37,0.55,1.96,50.72,0.0214,0.12,4.97,0.0156,-4.19,-15.55,0.0,7.9,High Susceptibility
2.26,10.97,2.01,2.13,22.92,0.015,0.222,1.4,0.0147,-1.55,-7.01,0.0,7.62,Critical Erosion Hotspot
2.09,10.05,0.75,1.94,72.8,0.0322,0.474,8.11,0.0332,-1.88,-8.56,36.0,4.62,Moderate Susceptibility
1.78,8.51,0.36,1.76,12.96,0.0248,0.206,0.8,0.0209,-4.16,-13.43,0.0,7.18,Critical Erosion Hotspot
2.85,13.02,0.49,0.99,NaN,0.0451,0.48,NaN,0.0295,-1.7,-7.32,45.0,2.78,Low Susceptibility
1.19,10.61,1.49,0.97,58.45,NaN,0.501,4.79,0.0427,0.61,2.85,26.7,3.54,Low Susceptibility
1.41,8.55,NaN,1.1,71.39,0.0175,0.142,3.3,0.0151,NaN,19.28,22.7,5.0,Low Susceptibility
2.24,12.17,2.52,1.18,102.48,0.0279,NaN,9.55,NaN,-1.44,-5.14,49.1,4.12,Low Susceptibility
2.25,NaN,4.64,1.37,50.22,0.0194,0.259,NaN,0.011,-0.33,-5.51,46.1,3.98,Low Susceptibility
2.92,12.27,2.07,1.62,99.4,0.0722,NaN,8.75,0.0616,-1.11,-7.09,37.8,2.62,Low Susceptibility
3.15,11.68,1.26,1.9,31.71,0.0511,0.576,4.0,0.0465,-3.5,-14.88,3.7,5.84,High Susceptibility
3.07,12.65,0.66,NaN,58.23,0.0455,0.419,4.94,0.0386,1.14,8.46,27.6,1.98,Low Susceptibility
2.78,10.74,NaN,1.52,9.68,0.0521,0.756,3.75,0.0329,-2.72,-10.76,0.3,4.17,High Susceptibility
1.6,9.61,1.98,0.98,122.5,0.02,0.283,8.98,0.0255,3.05,22.0,58.5,4.65,Stable or Accreting
1.62,9.66,3.42,0.91,48.9,0.0465,0.824,4.33,0.0325,1.41,7.45,32.3,3.88,Low Susceptibility
2.18,11.0,NaN,1.99,26.37,0.0348,0.412,2.11,0.0285,-3.09,-12.3,0.0,NaN,Critical Erosion Hotspot
2.78,11.56,1.41,1.56,60.97,0.0687,1.149,6.91,0.0557,0.51,7.95,NaN,NaN,Low Susceptibility
3.5,14.71,1.65,2.47,45.04,0.0684,0.965,5.41,0.0607,1.69,12.06,6.5,NaN,Moderate Susceptibility
2.34,9.8,0.49,1.35,64.23,0.0548,0.766,6.52,0.0254,-2.24,-10.52,36.0,6.01,Moderate Susceptibility
NaN,12.87,1.17,1.67,38.94,0.0261,0.152,3.94,0.0259,-1.05,-2.71,19.8,2.16,Moderate Susceptibility
3.2,13.97,1.25,2.4,NaN,0.0447,0.681,6.08,NaN,0.32,3.98,NaN,3.33,Moderate Susceptibility
1.43,9.36,5.16,0.86,55.65,0.015,0.177,3.93,0.0235,-1.24,-4.07,19.6,3.34,Moderate Susceptibility
3.4,12.79,0.2,1.95,10.16,0.0314,0.4,0.8,0.0298,-3.23,-7.83,0.0,8.05,Critical Erosion Hotspot
1.85,9.45,3.46,1.18,46.93,NaN,NaN,4.32,0.0089,-0.42,2.25,30.3,4.08,Low Susceptibility
1.26,8.08,3.3,1.08,NaN,0.0337,0.39,8.78,0.0148,0.6,-1.03,64.7,3.01,Low Susceptibility
NaN,14.12,0.31,1.59,41.81,0.0454,0.403,4.78,0.0286,-0.74,1.41,15.9,4.94,Moderate Susceptibility
2.49,10.37,0.97,1.21,65.97,0.0323,0.416,6.92,0.0349,-1.25,-2.37,23.6,2.38,Low Susceptibility
3.25,13.5,0.54,1.65,18.18,0.0222,0.246,3.18,0.0173,-1.03,-3.45,3.5,4.71,Moderate Susceptibility
2.36,9.47,0.47,2.57,8.0,0.0375,0.48,0.8,0.0171,-5.01,-19.44,0.0,8.89,Critical Erosion Hotspot
0.38,6.41,4.61,0.85,NaN,0.015,0.12,0.8,0.0088,-0.09,2.65,20.1,7.99,Critical Erosion Hotspot
0.75,NaN,1.66,0.48,121.57,0.015,0.158,8.5,0.017,3.47,16.36,54.3,4.47,Stable or Accreting
1.94,NaN,3.96,1.14,NaN,0.0407,0.368,7.98,0.0324,1.65,NaN,65.6,3.79,Stable or Accreting
3.03,13.82,0.8,2.11,38.81,0.0307,0.404,4.46,0.0208,-2.86,-8.95,0.0,5.4,High Susceptibility
2.57,11.92,1.4,1.54,68.13,0.0551,0.837,6.23,0.0406,-1.09,-2.45,NaN,3.41,Low Susceptibility
2.39,12.68,NaN,1.43,35.56,0.0363,0.423,3.76,0.0242,-0.24,0.44,29.7,NaN,Moderate Susceptibility
1.32,10.32,0.35,1.89,33.72,NaN,0.12,3.55,0.0141,-1.28,-7.09,20.6,4.19,Moderate Susceptibility
3.04,NaN,3.46,2.3,50.33,0.0176,0.242,7.16,0.0193,-2.95,-8.82,8.6,6.35,High Susceptibility
3.01,11.65,0.54,NaN,39.54,NaN,0.535,6.45,0.0311,-1.85,-13.64,26.7,1.92,Moderate Susceptibility
2.39,11.34,0.96,1.82,59.61,0.0674,1.003,4.98,0.0633,0.3,6.36,40.1,5.28,Moderate Susceptibility
0.8,8.22,2.09,NaN,95.17,0.0272,0.348,7.49,0.0259,3.6,22.0,51.6,5.9,Stable or Accreting
1.3,8.81,1.03,0.87,95.63,0.015,0.246,6.79,0.0106,3.6,18.67,NaN,2.9,Stable or Accreting
1.5,10.6,0.34,1.87,8.0,0.015,0.12,0.8,0.0108,-2.76,-12.96,0.0,8.57,Critical Erosion Hotspot
1.94,9.84,2.8,1.49,63.21,0.0296,0.374,5.16,0.0267,NaN,10.93,30.3,4.05,Low Susceptibility
2.99,13.1,0.27,1.76,NaN,0.0404,0.611,5.4,0.0373,-2.63,-8.83,20.7,NaN,Moderate Susceptibility
3.02,12.23,1.42,1.66,98.82,0.0646,0.948,9.36,0.0352,-0.49,-6.53,NaN,1.59,Low Susceptibility
2.18,11.37,0.44,2.38,8.0,0.0377,0.364,1.15,0.0307,-3.92,-16.95,NaN,6.19,Critical Erosion Hotspot
1.62,9.29,4.91,1.18,38.82,0.0189,0.212,3.11,0.0165,NaN,NaN,23.5,3.25,Moderate Susceptibility
2.64,11.82,0.57,2.26,59.31,0.0272,0.322,5.76,0.025,0.42,4.44,NaN,NaN,Low Susceptibility
2.38,8.87,3.82,1.44,48.78,0.0362,0.642,6.06,0.0322,-3.22,-11.95,0.0,2.37,Moderate Susceptibility
2.85,NaN,1.17,1.49,71.3,0.0656,0.592,8.3,0.0452,1.05,8.18,54.2,2.48,Stable or Accreting
2.79,12.04,0.59,1.51,50.43,0.035,0.237,3.64,0.0275,-0.19,2.4,11.6,3.85,Moderate Susceptibility
2.62,NaN,0.42,1.66,48.21,0.0155,0.135,3.18,0.0164,0.74,9.16,30.8,4.08,Moderate Susceptibility
1.79,NaN,0.38,1.66,50.32,0.0158,0.12,5.24,0.0103,-3.25,-18.0,7.8,9.58,High Susceptibility
2.75,NaN,4.24,2.21,74.9,0.0304,0.209,5.06,NaN,-0.72,3.41,30.6,6.0,Moderate Susceptibility
1.32,10.9,0.23,1.17,24.85,0.0203,NaN,1.94,0.0115,-0.25,0.86,17.5,5.56,Moderate Susceptibility
0.98,6.62,3.9,1.27,53.94,0.0276,0.207,2.96,0.0116,1.97,10.83,27.3,5.1,Moderate Susceptibility
1.5,9.37,4.84,1.3,46.55,0.0345,0.279,3.05,0.0155,-1.66,-6.39,16.9,7.66,High Susceptibility
3.11,10.92,0.2,2.17,9.33,0.0284,0.187,0.8,0.021,-5.95,-22.23,0.0,7.79,Critical Erosion Hotspot
1.63,11.03,0.29,1.12,84.34,0.0469,0.704,6.54,0.0337,-0.81,-10.57,51.7,3.82,Low Susceptibility
2.47,13.21,0.75,1.83,37.59,0.0377,0.483,4.38,0.03,-2.29,-14.97,21.3,5.59,High Susceptibility
